system,round,average_wealth,inequality,population,total_wealth,idh,unemployment_rate
capitalism,0,83.04203151002231,81.92301261926913,100,12608.668965733257,0.33517180870268426,0.12
capitalism,1,222.5276528604787,186.36686728693468,100,23505.313603147388,0.33517180870268426,0.07999999999999996
capitalism,2,687.1100859469417,551.4195380077008,100,73556.21811864326,0.3372650732213535,0.040000000000000036
capitalism,3,4583.691687510637,4057.384124070544,100,562921.8203644818,0.3372650732213535,0.08999999999999997
capitalism,4,192694.94069623976,183961.62712193833,100,26038502.728416465,0.3404895206036725,0.15000000000000002
capitalism,5,364599218.3739418,342824450.7395895,100,50113124219.18092,0.3404895206036725,0.16000000000000003
capitalism,6,1328764521651682.0,1348152122778561.5,100,1.827050852671856e+17,0.35510209492627154,0.16000000000000003
capitalism,7,1.7656147664272649e+28,1.765873449253064e+28,100,2.4277203038373552e+30,0.35510209492627154,0.16000000000000003
capitalism,8,3.117395503425816e+54,3.0076237663765786e+54,100,4.286418817210497e+56,0.6748537572773051,0.17000000000000004
capitalism,9,9.7181547247795e+106,9.17445088968783e+106,100,1.336246274657181e+109,0.6748537572773051,0.18000000000000005
capitalism,10,9.444253125475415e+211,9.06000257851293e+211,100,1.298584804752869e+214,0.6765126755702818,0.18000000000000005
capitalism,11,,,100,inf,0.6765126755702818,0.18000000000000005
capitalism,12,,,100,,0.6781633452817527,0.18000000000000005
capitalism,13,,,100,,0.6781633452817527,0.18999999999999995
capitalism,14,,,100,,0.67990856790806,0.18000000000000005
capitalism,15,,,100,,0.67990856790806,0.12
capitalism,16,,,100,,0.6815076589861805,0.09999999999999998
capitalism,17,,,100,,0.6815076589861805,0.06999999999999995
capitalism,18,,,100,,0.6831660373672411,0.050000000000000044
capitalism,19,,,100,,0.6831660373672411,0.06000000000000005
capitalism,20,,,100,,0.6846664446890273,0.050000000000000044
capitalism,21,,,100,,0.6846664446890273,0.020000000000000018
capitalism,22,,,100,,0.6863407979433275,0.020000000000000018
capitalism,23,,,100,,0.6863407979433275,0.040000000000000036
capitalism,24,,,100,,0.6880942232813823,0.06000000000000005
capitalism,25,,,100,,0.6880942232813823,0.07999999999999996
capitalism,26,,,100,,0.6897953731553986,0.06999999999999995
capitalism,27,,,100,,0.6897953731553986,0.040000000000000036
capitalism,28,,,100,,0.6913964073213164,0.050000000000000044
capitalism,29,,,100,,0.6913964073213164,0.07999999999999996
capitalism,30,,,100,,0.6930600827720985,0.050000000000000044
capitalism,31,,,100,,0.6930600827720985,0.06000000000000005
capitalism,32,,,100,,0.6947198415999476,0.06000000000000005
capitalism,33,,,100,,0.6947198415999476,0.07999999999999996
capitalism,34,,,100,,0.6963004609695119,0.09999999999999998
capitalism,35,,,100,,0.6963004609695119,0.18999999999999995
capitalism,36,,,100,,0.6978079604850725,0.19999999999999996
capitalism,37,,,100,,0.6978079604850725,0.22999999999999998
capitalism,38,,,100,,0.6994523344108158,0.19999999999999996
capitalism,39,,,100,,0.6994523344108158,0.07999999999999996
capitalism,40,,,100,,0.7009617031293298,0.14
capitalism,41,,,100,,0.7009617031293298,0.17000000000000004
capitalism,42,,,100,,0.7023641812844682,0.10999999999999999
capitalism,43,,,100,,0.7023641812844682,0.08999999999999997
capitalism,44,,,100,,0.7041787600375683,0.10999999999999999
capitalism,45,,,100,,0.7041787600375683,0.10999999999999999
capitalism,46,,,100,,0.7057851448580367,0.12
capitalism,47,,,100,,0.7057851448580367,0.12
capitalism,48,,,100,,0.7075434755277618,0.15000000000000002
capitalism,49,,,100,,0.7075434755277618,0.10999999999999999
capitalism,50,,,100,,0.7091085958751545,0.07999999999999996
capitalism,51,,,100,,0.7091085958751545,0.12
